itemCode,Abbrev,itemValue,itemValueEN
147,รองอำมาตย์เอก,รองอำมาตย์เอก,
148,ท้าว,ท้าว,
149,เจ้า,เจ้า,
150,ท่านผู้หญิง,ท่านผู้หญิง,
151,คุณพระ,คุณพระ,
152,ศจ.คุณหญิง,ศาสตราจารย์คุณหญิง,
153,ซิสเตอร์,ซิสเตอร์,
154,เจ้าชาย,เจ้าชาย,
155,เจ้าหญิง,เจ้าหญิง,
156,รองเสวกตรี,รองเสวกตรี,
157,เสด็จเจ้า,เสด็จเจ้า,
158,เอกอัครราชฑูต,เอกอัครราชฑูต,
159,พลสารวัตร,พลสารวัตร,
160,สมเด็จเจ้า,สมเด็จเจ้า,
161,เจ้าฟ้า,เจ้าฟ้า,
162,รองอำมาตย์ตรี,รองอำมาตย์ตรี,
163,ม.จ.หญิง,หม่อมเจ้าหญิง,
164,ทูลกระหม่อม,ทูลกระหม่อม,
165,ศ.ดร.,ศาสตราจารย์ดอกเตอร์,
166,เจ้านาง,เจ้านาง,
167,จ่าสำรอง,จ่าสำรอง,
200,พล.อ.,พลเอก,
201,ว่าที่ พล.อ.,ว่าที่พลเอก,
202,พล.ท.,พลโท,
204,พล.ต.,พลตรี,
205,ว่าที่ พล.ต.,ว่าที่พลตรี,
206,พ.อ.(พิเศษ),พันเอกพิเศษ,
207,ว่าที่ พ.อ.(พิเศษ),ว่าที่พันเอกพิเศษ,
208,พ.อ.,พันเอก,
209,ว่าที่ พ.อ.,ว่าที่พันเอก,
210,พ.ท.,พันโท,
211,ว่าที่ พ.ท.,ว่าที่พันโท,
212,พ.ต.,พันตรี,
213,ว่าที่ พ.ต.,ว่าที่พันตรี,
214,ร.อ.,ร้อยเอก,
215,ว่าที่ ร.อ.,ว่าที่ร้อยเอก,
216,ร.ท.,ร้อยโท,
217,ว่าที่ ร.ท.,ว่าที่ร้อยโท,
218,ร.ต.,ร้อยตรี,
219,ว่าที่ ร.ต.,ว่าที่ร้อยตรี,
220,จ.ส.อ.,จ่าสิบเอก,
221,จ.ส.ท.,จ่าสิบโท,
222,จ.ส.ต.,จ่าสิบตรี,
223,ส.อ.,สิบเอก,
224,ส.ท.,สิบโท,
225,ส.ต.,สิบตรี,
226,พลฯ,พลทหาร,
227,นนร.,นักเรียนนายร้อย,
228,นนส.,นักเรียนนายสิบ,
229,พล.จ.,พลจัตวา,
230,พลฯ อาสา,พลฯ อาสาสมัคร,
231,ร.อ.ม.จ.,ร้อยเอกหม่อมเจ้า,
232,พล.ท.ม.จ.,พลโทหม่อมเจ้า,
233,ร.ต.ม.จ.,ร้อยตรีหม่อมเจ้า,
234,ร.ท.ม.จ.,ร้อยโทหม่อมเจ้า,
235,พ.ท.ม.จ.,พันโทหม่อมเจ้า,
236,พ.อ.ม.จ.,พันเอกหม่อมเจ้า,
237,พ.ต.ม.ร.ว.,พันตรีหม่อมราชวงศ์,
238,พ.ท.ม.ร.ว.,พันโทหม่อมราชวงศ์,
239,ส.ต.ม.ร.ว.,สิบตรีหม่อมราชวงศ์,
240,พ.อ.ม.ร.ว.,พันเอกหม่อมราชวงศ์,
241,จ.ส.อ.ม.ร.ว.,จ่าสิบเอกหม่อมราชวงศ์,
242,ร.อ.ม.ร.ว.,ร้อยเอกหม่อมราชวงศ์,
243,ร.ต.ม.ร.ว.,ร้อยตรีหม่อมราชวงศ์,
244,ส.อ.ม.ร.ว.,สิบเอกหม่อมราชวงศ์,
245,ร.ท.ม.ร.ว.,ร้อยโทหม่อมราชวงศ์,
246,พ.อ.(พิเศษ)ม.ร.ว.,พันเอก(พิเศษ)หม่อมราชวงศ์,
247,พลฯม.ล.,พลฯหม่อมหลวง,
248,ร.อ.ม.ล.,ร้อยเอกหม่อมหลวง,
249,ส.ท.ม.ล.,สิบโทหม่อมหลวง,
250,พล.ท.ม.ล.,พลโทหม่อมหลวง,
251,ร.ท.ม.ล.,ร้อยโทหม่อมหลวง,
252,ร.ต.ม.ล.,ร้อยตรีหม่อมหลวง,
253,ส.อ.ม.ล.,สิบเอกหม่อมหลวง,
254,พล.ต.ม.ล.,พลตรีหม่อมหลวง,
